,answer_first
ski,15
kite,12
cloth,12
travel,12
boat,12
mountain,11
snowboard,11
fly,11
motorcycle,11
skateboard,10
paint,10
cook,10
banana,10
surf,10
seagull,10
car,10
work,10
carrot,10
fish,10
sleep,10
cow,10
eat,10
rose,10
herd,10
laptop,10
apple,10
land,10
glass,9
bear,9
rain,9
light,9
lion,9
train,9
bath,9
potato,9
park,9
computer,9
swim,9
serve,9
tree,9
umbrella,9
dog,9
track,9
microwave,9
duck,9
horse,9
brick,9
take off,9
bake,9
wave,9
tell time,9
tomato,9
shark,8
zebra,8
pilot,8
run,8
tie,8
window,8
fruit,8
lot,8
star,8
race,8
bike,8
fall,8
cardinal,8
elephant,8
passenger,8
orange,8
bird,8
sail,8
tow,8
candle,8
stop,8
ride,7
battery,7
vegetable,7
surfboard,7
clock,7
bat,7
blueberry,7
sparrow,7
fan,7
bed,7
wood,7
rock,7
relax,7
egg,7
cat,7
snow,7
read,7
friend,7
bus,7
canoe,7
girl,7
pitch,7
farm,7
toilet,7
cut,7
chef,7
jump,7
daisy,7
engine,7
tennis ball,7
catch,7
sit,7
hit,7
pigeon,7
truck,7
play,7
dock,7
human,6
tile,6
seed,6
monkey,6
short,6
towel,6
bread,6
lighthouse,6
go,6
horse race,6
steam,6
cell phone,6
herbivore,6
airplane,6
wet suit,6
blanket,6
lamp,6
knife,6
rail,6
parrot,6
spoon,6
van,6
red,6
church,6
backhand,6
shadow,6
student,6
fence,6
city,6
street,6
play video game,6
suit,6
lake,6
glove,6
pirate,6
female,6
cowboy,6
plane,6
double,6
oven,6
flower,6
house,6
clean,6
hot dog,6
spring,6
pole,6
bench,6
watch tv,6
snack,6
teddy bear,6
grape,6
giraffe,6
biplane,6
green,6
float,6
grill,6
paper,6
phone,6
pet,6
lily,6
american,5
couch,5
love,5
vacation,5
blue,5
african,5
healthy,5
ketchup,5
ireland,5
urban,5
diesel,5
park meter,5
cargo,5
refrigerator,5
sprinkle,5
fur,5
12,5
male,5
ticket,5
conductor,5
book,5
dirt bike,5
picnic,5
samuel fox,5
rural,5
beach,5
polo,5
north pole,5
serena williams,5
sand,5
tired,5
tv,5
indian,5
meow,5
pepper,5
old,5
bamboo,5
wimbledon,5
table,5
hawk,5
6,5
fedora,5
suitcase,5
pitcher,5
terrier,5
surf board,5
wet,5
flip phone,5
tea,5
safe,5
cloudy,5
graffiti,5
algae,5
grilled,5
kenya,5
plant,5
remote,5
bicycle,5
football,5
commercial,5
grind,5
jockey,5
5,5
shade,5
puppy,5
taxi,5
heart,5
kickflip,5
cross country,5
downtown,5
fire,5
calf,5
ski lift,5
dark,5
happy,5
million,5
marble,5
catcher,5
commuter,5
television,5
poor,5
sunset,5
chocolate,5
fork,5
windsor,5
highway,5
school,5
longboard,5
spanish,5
stir fry,5
washington dc,5
round,5
wilson,5
private,5
south america,5
good,5
bmw,5
storm,5
21,5
halloween,5
pork,5
desert,5
steve job,5
